         221654120 function calls (221652946 primitive calls) in 455.437 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.010    0.000 decorators.py:131(open_file)
        6    0.000    0.000    0.001    0.000 decorators.py:67(require)
        1    0.000    0.000    0.000    0.000 degree_alg.py:4(<module>)
        1    0.005    0.005    0.005    0.005 degree_seq.py:3(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:544(DegreeSequenceRandomGraph)
        1    0.000    0.000    0.000    0.000 dense.py:3(<module>)
        1    0.002    0.002    0.002    0.002 depth_first_search.py:10(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:1639(HtmlDiff)
        1    0.002    0.002    0.007    0.007 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
        1    0.000    0.000    0.000    0.000 digraph.py:1(<module>)
   100001    2.010    0.000    2.343    0.000 digraph.py:168(__init__)
        1    0.000    0.000    0.000    0.000 digraph.py:17(DiGraph)
   100000    0.223    0.000    0.223    0.000 digraph.py:278(add_nodes_from)
   100000    0.192    0.000    0.192    0.000 digraph.py:502(add_edges_from)
        1    0.000    0.000    0.000    0.000 directed.py:9(<module>)
        1    0.016    0.016    0.017    0.017 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distance_measures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 distance_regular.py:5(<module>)
        1    0.022    0.022    1.531    1.531 dynamicscc.py:1(<module>)
   100000    0.448    0.000    0.448    0.000 dynamicscc.py:138(_shift)
   100000    1.552    0.000   11.556    0.000 dynamicscc.py:150(insert_edges)
   100000    0.493    0.000    0.493    0.000 dynamicscc.py:187(getSCC)
        1    0.000    0.000    0.000    0.000 dynamicscc.py:27(UnionFind)
        1    0.000    0.000    0.000    0.000 dynamicscc.py:29(__init__)
        1    0.000    0.000    0.000    0.000 dynamicscc.py:5(Node)
   200000    0.495    0.000    0.495    0.000 dynamicscc.py:6(__init__)
        1    0.000    0.000    0.000    0.000 dynamicscc.py:68(DynamicSCC)
        1    0.000    0.000    0.000    0.000 dynamicscc.py:69(__init__)
   100000    1.079    0.000    1.574    0.000 dynamicscc.py:87(insert_vertices)
   100000    2.596    0.000    8.480    0.000 dynamicscc.py:91(_scc)
   100000    1.010    0.000    9.490    0.000 dynamicscc.py:97(_findSCC)
        1    0.000    0.000    0.005    0.005 edgelist.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ego.py:3(<module>)
        1    0.000    0.000    0.000    0.000 eigenvector.py:3(<module>)
        1    0.000    0.000    0.000    0.000 euler.py:4(<module>)
        1    0.000    0.000    0.000    0.000 exception.py:22(NetworkXException)
        1    0.000    0.000    0.000    0.000 exception.py:25(NetworkXError)
        1    0.000    0.000    0.000    0.000 exception.py:28(NetworkXPointlessConcept)
        1    0.000    0.000    0.000    0.000 exception.py:34(NetworkXAlgorithmError)
        1    0.000    0.000    0.000    0.000 exception.py:37(NetworkXUnfeasible)
        1    0.000    0.000    0.000    0.000 exception.py:41(NetworkXNoPath)
        1    0.000    0.000    0.000    0.000 exception.py:45(NetworkXUnbounded)
        1    0.000    0.000    0.000    0.000 exception.py:49(NetworkXNotImplemented)
        1    0.001    0.001    0.001    0.001 exception.py:9(<module>)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:110(CGInverseLaplacian)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:33(InverseLaplacian)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:79(FullInverseLaplacian)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:93(SuperLUInverseLaplacian)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        5    0.000    0.000    0.000    0.000 fractions.py:280(_operator_fallbacks)
        1    0.015    0.015    0.062    0.062 fractions.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        1    0.000    0.000    0.000    0.000 function.py:2(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 generic.py:10(<module>)
       66    0.001    0.000    0.043    0.001 genericpath.py:26(isfile)
        2    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
        1    0.005    0.005    0.005    0.005 geometric.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gexf.py:159(GEXF)
        1    0.001    0.001    0.001    0.001 gexf.py:17(<module>)
       13    0.000    0.000    0.000    0.000 gexf.py:207(<genexpr>)
        1    0.000    0.000    0.000    0.000 gexf.py:231(GEXFWriter)
        1    0.000    0.000    0.000    0.000 gexf.py:536(GEXFReader)
        1    0.000    0.000    0.003    0.003 gml.py:24(<module>)
        1    0.003    0.003    0.004    0.004 gpickle.py:22(<module>)
   100000    0.241    0.000    0.405    0.000 graph.py:245(__iter__)
        1    0.000    0.000    0.000    0.000 graph.py:25(Graph)
        1    0.006    0.006    0.010    0.010 graph.py:9(<module>)
        1    0.000    0.000    0.000    0.000 graphical.py:3(<module>)
        1    0.000    0.000    0.000    0.000 graphmatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 graphml.py:157(GraphML)
       10    0.000    0.000    0.000    0.000 graphml.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 graphml.py:187(GraphMLWriter)
        1    0.000    0.000    0.000    0.000 graphml.py:341(GraphMLReader)
        1    0.039    0.039    0.114    0.114 graphml.py:36(<module>)
        1    0.011    0.011    0.011    0.011 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:91(__get_openssl_constructor)
        1    0.015    0.015    0.015    0.015 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 hierarchy.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hits_alg.py:3(<module>)
        1    0.003    0.003    0.003    0.003 hs.py:10(<module>)
   100000    1.163    0.000    1.543    0.000 hs.py:100(byte_array_or)
   200000    2.335    0.000    3.100    0.000 hs.py:110(byte_array_not)
   300001   17.392    0.000   22.451    0.000 hs.py:218(hs_string_to_byte_array)
        1    0.000    0.000    0.000    0.000 hs.py:301(headerspace)
        1    0.000    0.000    0.000    0.000 hs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 hs.py:322(add_hs)
   300000    3.532    0.000    4.620    0.000 hs.py:90(byte_array_and)
        1    0.002    0.002    0.002    0.002 hybrid.py:4(<module>)
      126    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
       84    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.027    0.027    0.130    0.130 inspect.py:25(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:628(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:630(BlockFinder)
       84    0.001    0.000    0.001    0.000 inspect.py:67(ismethod)
       84    0.001    0.000    0.002    0.000 inspect.py:741(getargs)
       84    0.001    0.000    0.003    0.000 inspect.py:801(getargspec)
      104    0.000    0.000    0.000    0.000 inspect.py:835(strseq)
       42    0.001    0.000    0.001    0.000 inspect.py:842(formatargspec)
        1    0.000    0.000    0.000    0.000 inspect.py:845(<lambda>)
        1    0.000    0.000    0.000    0.000 intersection.py:4(<module>)
        1    0.000    0.000    0.000    0.000 isolate.py:4(<module>)
        1    0.000    0.000    0.000    0.000 isomorph.py:3(<module>)
        1    0.002    0.002    0.002    0.002 isomorphvf2.py:129(<module>)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:146(GraphMatcher)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:477(DiGraphMatcher)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:779(GMState)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:862(DiGMState)
        1    0.001    0.001    0.001    0.001 kclique.py:7(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 laplacianmatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 layout.py:7(<module>)
        1    0.000    0.000    0.002    0.002 leda.py:10(<module>)
        1    0.000    0.000    0.000    0.000 line.py:4(<module>)
        1    0.000    0.000    0.000    0.000 load.py:4(<module>)
        1    0.016    0.016    0.017    0.017 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.004    0.004    0.021    0.021 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        3    0.000    0.000    0.000    0.000 matchhelpers.py:20(copyfunc)
        1    0.004    0.004    0.004    0.004 matchhelpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 matching.py:5(<module>)
        1    0.000    0.000    0.000    0.000 maxflow.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mincost.py:4(<module>)
        1    0.002    0.002    0.002    0.002 mis.py:6(<module>)
        1    0.029    0.029    0.287    0.287 misc.py:10(<module>)
        1    0.001    0.001    0.001    0.001 mixing.py:4(<module>)
        1    0.003    0.003    0.003    0.003 mst.py:5(<module>)
        1    0.000    0.000    0.000    0.000 multidigraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multidigraph.py:18(MultiDiGraph)
        1    0.000    0.000    0.000    0.000 multigraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multigraph.py:16(MultiGraph)
        1    0.000    0.000    0.002    0.002 multiline_adjlist.py:27(<module>)
        1    0.000    0.000    0.000    0.000 neighbor_degree.py:7(<module>)
        1    0.024    0.024    1.573    1.573 networksimulator.py:1(<module>)
 49500490   91.019    0.000  124.623    0.000 networksimulator.py:114(<lambda>)
 49499510   87.189    0.000  120.490    0.000 networksimulator.py:116(<lambda>)
 99000000   66.906    0.000   66.906    0.000 networksimulator.py:147(rule_spaces_intersect)
   100000    1.178    0.000   58.330    0.001 networksimulator.py:182(simple_port_forward_rule)
     1001    0.010    0.000    0.018    0.000 networksimulator.py:27(pad_to_header_length)
        1    0.000    0.000    0.000    0.000 networksimulator.py:43(NetworkFlowruleModel)
        1    0.000    0.000    0.000    0.000 networksimulator.py:54(__init__)
     2200    0.002    0.000    0.002    0.000 networksimulator.py:55(<lambda>)
     2200    0.001    0.000    0.001    0.000 networksimulator.py:56(<lambda>)
   100000   35.222    0.000  381.132    0.004 networksimulator.py:82(install_flow_rule)
       39    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        1    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
        1    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
       37    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
       35    0.000    0.000    0.001    0.000 ntpath.py:63(join)
        1    0.000    0.000    0.000    0.000 numbers.py:13(Number)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
        1    0.017    0.017    0.041    0.041 nx_agraph.py:17(<module>)
        1    0.000    0.000    0.000    0.000 nx_pylab.py:15(<module>)
        1    0.000    0.000    0.000    0.000 nx_shp.py:13(<module>)
        1    0.000    0.000    0.002    0.002 nx_yaml.py:15(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.001    0.001    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pairs.py:2(<module>)
        1    0.000    0.000    0.002    0.002 pajek.py:14(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:81(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 product.py:3(<module>)
        1    0.000    0.000    0.000    0.000 projection.py:3(<module>)
        1    0.000    0.000    0.027    0.027 random.py:100(seed)
        1    0.014    0.014    0.051    0.051 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:647(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:797(SystemRandom)
        1    0.000    0.000    0.027    0.027 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 random_clustered.py:3(<module>)
        1    0.003    0.003    0.003    0.003 random_graphs.py:5(<module>)
        1    0.015    0.015    0.066    0.066 random_sequence.py:4(<module>)
        1    0.002    0.002    0.002    0.002 rcm.py:3(<module>)
       17    0.000    0.000    0.092    0.005 re.py:188(compile)
       17    0.001    0.000    0.092    0.005 re.py:229(_compile)
        1    0.000    0.000    0.000    0.000 redundancy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 relabel.py:7(<module>)
        1    0.000    0.000    0.001    0.001 release.py:120(get_revision)
        1    0.005    0.005    0.006    0.006 release.py:161(get_info)
        1    0.020    0.020    0.112    0.112 release.py:30(<module>)
        1    0.026    0.026    0.027    0.027 result.py:1(<module>)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 richclub.py:2(<module>)
        1    1.609    1.609  455.442  455.442 ringnetwork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ringnetwork.py:10(RingNetwork)
        1    4.769    4.769  452.260  452.260 ringnetwork.py:110(runstuff)
        1    0.005    0.005    0.015    0.015 ringnetwork.py:18(__init__)
     1001    0.008    0.000    0.025    0.000 ringnetwork.py:35(client_to_bitstring_address)
     2201    0.004    0.000    0.010    0.000 ringnetwork.py:46(ports_iter)
  1300000    1.411    0.000    1.677    0.000 ringnetwork.py:58(in_ports)
  1300000    2.849    0.000    4.526    0.000 ringnetwork.py:67(in_portnums)
   101101    0.140    0.000    0.143    0.000 ringnetwork.py:72(switch_iter)
     2002    0.007    0.000    0.008    0.000 ringnetwork.py:77(client_iter)
   100001    3.317    0.000   66.343    0.001 ringnetwork.py:83(rules)
        1    0.014    0.014    0.017    0.017 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:119(TextTestRunner)
        1    0.000    0.000    0.000    0.000 runner.py:12(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 runner.py:28(TextTestResult)
